timestamp (UTC+1),PM2.5 nom,PM10 nom,humidity_percent,pm10_ugm3,PM10 Avg,pm25_ugm3,PM2.5 Avg,temperature_degC
2018-03-21 18:40:48,40,25,42.7,12.62167,14.698666,6.551665,7.0138339,14.2
2018-03-21 18:41:48,40,25,42.7,15.93666,15.080832,7.231666,7.0700007,14.2
2018-03-21 18:42:48,40,25,42.8,15.26,15.248499,7.126668,7.1141675,14.2
2018-03-21 18:43:48,40,25,42.8,15.27667,15.509166,7.240004,7.1903338,14.2
2018-03-21 18:44:48,40,25,42.8,15.44,15.742999,7.133336,7.2610004,14.2
2018-03-21 18:45:48,40,25,42.8,14.11,16.109832,6.961669,7.3661668,14.2
2018-03-21 18:46:48,40,25,42.8,15.54166,16.557166,6.946666,7.4624997,14.2
2018-03-21 18:47:48,40,25,42.8,14.79667,16.818,6.801665,7.5728328,14.2
2018-03-21 18:48:48,40,25,42.8,13.94166,17.066333,7.036665,7.6794997,14.2
2018-03-21 18:49:48,40,25,42.8,14.06167,17.335834,7.108335,7.7341665,14.2
2018-03-21 18:50:48,40,25,42.8,16.44333,17.772667,7.113333,7.7794997,14.2
2018-03-21 18:51:48,40,25,42.8,17.61333,17.992834,7.673334,7.8341667,14.2
2018-03-21 18:52:48,40,25,42.8,17.86667,17.905501,7.888331,7.8201666,14.2
2018-03-21 18:53:48,40,25,42.8,17.615,17.832167,7.94667,7.7901667,14.2
2018-03-21 18:54:48,40,25,42.8,19.10833,18.085834,8.185,7.7771664,14.2
2018-03-21 18:55:48,40,25,42.9,18.58334,17.957335,7.924998,7.7029998,14.2
2018-03-21 18:56:48,40,25,42.8,18.15,17.658001,8.049997,7.6364999,14.2
2018-03-21 18:57:48,40,25,42.9,17.28,17.380168,7.868334,7.5245003,14.3
2018-03-21 18:58:48,40,25,42.8,16.63667,17.154835,7.583333,7.422167,14.2
2018-03-21 18:59:48,40,25,42.8,18.43,17.190001,7.561667,7.3943335,14.2
2018-03-21 19:00:48,40,25,42.8,18.645,16.988834,7.660003,7.3389999,14.2
2018-03-21 19:01:48,40,25,42.8,16.74,16.608834,7.533333,7.2754995,14.2
2018-03-21 19:02:48,40,25,42.8,17.13333,16.277834,7.588332,7.2106659,14.2
2018-03-21 19:03:48,40,25,42.9,20.15167,15.966001,7.816667,7.1304994,14.2
2018-03-21 19:04:48,40,25,42.9,17.82334,15.488667,7.443334,7.0161663,14.2
2018-03-21 19:05:48,40,25,42.9,15.59,15.416999,7.259999,6.9626663,14.2
2018-03-21 19:06:48,40,25,42.9,15.37167,15.308333,6.930001,6.9434997,14.2
2018-03-21 19:07:48,40,25,42.9,15.02667,15.289833,6.845001,6.9094995,14.2
2018-03-21 19:08:48,40,25,42.9,16.98833,15.327833,7.304998,6.8941661,14.2
2018-03-21 19:09:48,40,25,42.9,16.41833,14.965,7.008331,6.8108328,14.2
2018-03-21 19:10:48,40,25,42.9,14.845,14.772167,7.024999,6.7879997,14.2
2018-03-21 19:11:48,40,25,42.9,13.43,14.711667,6.884997,6.7294998,14.1
2018-03-21 19:12:48,40,25,42.9,14.015,14.774833,6.786667,6.6926667,14.1
2018-03-21 19:13:48,40,25,42.9,15.37833,14.751333,6.673336,6.6821669,14.1
2018-03-21 19:14:48,40,25,42.9,17.10666,14.7575,6.908334,6.6740001,14.1
2018-03-21 19:15:48,40,25,42.9,14.50334,14.352667,7.068333,6.5978334,14.1
2018-03-21 19:16:48,40,25,42.9,15.18667,14.369667,6.589999,6.5228336,14.1
2018-03-21 19:17:48,40,25,42.9,15.40667,14.237333,6.691667,6.4935002,14.1
2018-03-21 19:18:48,40,25,43,13.36,14.049166,6.471665,6.4518335,14.1
2018-03-21 19:19:48,40,25,43,14.49,14.039333,6.78,6.4143338,14.1
2018-03-21 19:20:48,40,25,43,14.24,13.890333,6.44,6.3385005,14.1
2018-03-21 19:21:48,40,25,43,14.06166,13.895166,6.516666,6.3423341,14.1
2018-03-21 19:22:48,40,25,43,13.78,13.744667,6.681669,6.3021679,14.1
2018-03-21 19:23:48,40,25,43,15.44,13.759167,6.591668,6.2356677,14.1
2018-03-21 19:24:48,40,25,43,13.05833,13.674,6.146667,6.2125008,14.1
2018-03-21 19:25:48,40,25,43,14.67334,13.801667,6.318335,6.2286675,14.1
2018-03-21 19:26:48,40,25,43,13.86333,13.825,6.296665,6.232834,14.1
